STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20040709
Launch Time (UTC)                : 23:38
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1004.471	291.077	54.782	2.957	29.449	1.079	9000.000	9000.000	9000.000	9000.000	290.712	308.766	7.26869
0.2	992.845	289.758	56.316	3.009	30.332	1.412	9000.000	9000.000	9000.000	9000.000	290.359	307.653	6.93954
0.3	981.219	288.439	57.850	3.061	31.214	1.744	9000.000	9000.000	9000.000	9000.000	290.007	306.540	6.61039
0.4	969.661	287.197	59.931	3.095	31.917	2.070	9000.000	9000.000	9000.000	9000.000	289.732	305.711	6.36436
0.5	958.305	286.187	63.654	3.073	32.077	2.376	9000.000	9000.000	9000.000	9000.000	289.692	305.737	6.36770
0.6	946.948	285.176	67.378	3.052	32.238	2.681	9000.000	9000.000	9000.000	9000.000	289.652	305.763	6.37105
0.7	935.592	284.165	71.101	3.031	32.398	2.987	9000.000	9000.000	9000.000	9000.000	289.612	305.789	6.37439
0.8	924.440	283.178	75.057	3.012	32.581	3.271	9000.000	9000.000	9000.000	9000.000	289.594	305.812	6.36768
0.9	913.502	282.215	79.254	2.994	32.787	3.531	9000.000	9000.000	9000.000	9000.000	289.599	305.831	6.35052
1.0	902.564	281.252	83.452	2.977	32.993	3.792	9000.000	9000.000	9000.000	9000.000	289.603	305.850	6.33336
1.1	891.625	280.289	87.649	2.960	33.199	4.052	9000.000	9000.000	9000.000	9000.000	289.607	305.869	6.31620
1.2	880.843	279.412	90.584	2.938	33.360	4.300	9000.000	9000.000	9000.000	9000.000	289.701	305.807	6.23362
1.3	870.260	278.642	91.910	2.912	33.463	4.533	9000.000	9000.000	9000.000	9000.000	289.910	305.643	6.06777
1.4	859.676	277.873	93.236	2.885	33.567	4.766	9000.000	9000.000	9000.000	9000.000	290.119	305.478	5.90192
1.5	849.093	277.104	94.562	2.859	33.670	4.998	9000.000	9000.000	9000.000	9000.000	290.327	305.314	5.73607
1.6	838.727	276.526	89.165	2.872	34.254	5.266	9000.000	9000.000	9000.000	9000.000	290.741	304.567	5.27380
1.7	828.469	276.042	80.455	2.904	35.075	5.551	9000.000	9000.000	9000.000	9000.000	291.257	303.533	4.66552
1.8	818.211	275.558	71.745	2.936	35.897	5.835	9000.000	9000.000	9000.000	9000.000	291.772	302.499	4.05724
1.9	808.160	275.689	59.629	3.034	37.576	6.192	9000.000	9000.000	9000.000	9000.000	292.946	301.915	3.37785
2.0	798.265	276.283	44.944	3.181	39.902	6.604	9000.000	9000.000	9000.000	9000.000	294.617	301.672	2.64481
2.1	788.370	276.878	30.259	3.327	42.228	7.016	9000.000	9000.000	9000.000	9000.000	296.289	301.428	1.91177
2.2	778.812	278.528	19.942	3.760	48.429	7.462	9000.000	9000.000	9000.000	9000.000	299.109	302.666	1.31261
