STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20040423
Launch Time (UTC)                : 23:49
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1010.442	297.455	62.895	2.230	22.074	0.752	9000.000	9000.000	9000.000	9000.000	296.580	327.475	12.45805
0.2	998.956	296.093	66.610	2.230	22.331	0.944	9000.000	9000.000	9000.000	9000.000	296.188	326.598	12.22232
0.3	987.470	294.731	70.325	2.230	22.588	1.136	9000.000	9000.000	9000.000	9000.000	295.796	325.722	11.98660
0.4	976.074	293.499	73.930	2.234	22.888	1.348	9000.000	9000.000	9000.000	9000.000	295.534	325.108	11.80465
0.5	964.912	292.602	77.252	2.247	23.298	1.612	9000.000	9000.000	9000.000	9000.000	295.603	325.169	11.76101
0.6	953.749	291.705	80.575	2.260	23.707	1.876	9000.000	9000.000	9000.000	9000.000	295.673	325.229	11.71737
0.7	942.673	290.816	83.142	2.268	24.060	2.112	9000.000	9000.000	9000.000	9000.000	295.752	325.036	11.57116
0.8	931.833	289.950	83.667	2.260	24.261	2.271	9000.000	9000.000	9000.000	9000.000	295.854	324.156	11.14762
0.9	920.993	289.084	84.192	2.252	24.461	2.430	9000.000	9000.000	9000.000	9000.000	295.957	323.277	10.72408
1.0	910.154	288.218	84.717	2.244	24.662	2.590	9000.000	9000.000	9000.000	9000.000	296.059	322.397	10.30054
1.1	899.476	287.690	82.162	2.203	24.479	2.755	9000.000	9000.000	9000.000	9000.000	296.513	321.523	9.74774
1.2	888.989	287.560	75.994	2.121	23.846	2.928	9000.000	9000.000	9000.000	9000.000	297.379	320.657	9.04319
1.3	878.502	287.431	69.825	2.040	23.214	3.100	9000.000	9000.000	9000.000	9000.000	298.245	319.791	8.33864
1.4	868.123	287.095	68.040	1.967	22.653	3.286	9000.000	9000.000	9000.000	9000.000	298.901	319.732	8.02866
1.5	857.922	286.424	73.409	1.907	22.212	3.493	9000.000	9000.000	9000.000	9000.000	299.215	320.991	8.36247
1.6	847.721	285.753	78.779	1.846	21.771	3.699	9000.000	9000.000	9000.000	9000.000	299.528	322.249	8.69628
1.7	837.655	285.152	82.771	1.807	21.571	3.893	9000.000	9000.000	9000.000	9000.000	299.917	323.247	8.90002
1.8	827.793	284.656	84.700	1.798	21.732	4.066	9000.000	9000.000	9000.000	9000.000	300.418	323.854	8.90865
1.9	817.931	284.160	86.628	1.790	21.892	4.240	9000.000	9000.000	9000.000	9000.000	300.920	324.462	8.91729
2.0	808.068	283.664	88.556	1.782	22.053	4.413	9000.000	9000.000	9000.000	9000.000	301.421	325.069	8.92592
2.1	798.525	283.416	82.509	1.852	23.224	4.626	9000.000	9000.000	9000.000	9000.000	302.188	324.184	8.27761
2.2	789.078	283.241	74.078	1.945	24.697	4.850	9000.000	9000.000	9000.000	9000.000	303.034	322.853	7.43307
