STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20060616
Launch Time (UTC)                : 23:23
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1003.476	292.822	60.804	2.524	25.156	0.755	9000.000	9000.000	9000.000	9000.000	292.536	315.055	9.06391
0.2	991.861	291.592	60.419	2.532	25.531	1.045	9000.000	9000.000	9000.000	9000.000	292.276	313.285	8.42802
0.3	980.245	290.361	60.035	2.539	25.906	1.336	9000.000	9000.000	9000.000	9000.000	292.016	311.514	7.79213
0.4	968.896	289.410	61.960	2.518	25.985	1.576	9000.000	9000.000	9000.000	9000.000	292.036	311.195	7.63056
0.5	957.573	288.487	64.114	2.493	26.036	1.812	9000.000	9000.000	9000.000	9000.000	292.082	311.020	7.51591
0.6	946.250	287.564	66.268	2.468	26.086	2.048	9000.000	9000.000	9000.000	9000.000	292.129	310.845	7.40126
0.7	935.132	286.700	68.179	2.446	26.161	2.272	9000.000	9000.000	9000.000	9000.000	292.238	310.699	7.27493
0.8	924.120	285.867	69.964	2.425	26.249	2.490	9000.000	9000.000	9000.000	9000.000	292.378	310.567	7.14257
0.9	913.108	285.033	71.750	2.405	26.336	2.708	9000.000	9000.000	9000.000	9000.000	292.519	310.435	7.01021
1.0	902.208	284.203	73.823	2.385	26.431	2.923	9000.000	9000.000	9000.000	9000.000	292.661	310.359	6.89944
1.1	891.568	283.380	76.567	2.366	26.543	3.133	9000.000	9000.000	9000.000	9000.000	292.810	310.415	6.83904
1.2	880.927	282.557	79.311	2.348	26.656	3.343	9000.000	9000.000	9000.000	9000.000	292.958	310.470	6.77863
1.3	870.292	281.740	82.019	2.329	26.766	3.553	9000.000	9000.000	9000.000	9000.000	293.113	310.533	6.71818
1.4	859.910	281.263	82.975	2.301	26.756	3.784	9000.000	9000.000	9000.000	9000.000	293.631	310.951	6.65559
1.5	849.528	280.785	83.930	2.272	26.745	4.014	9000.000	9000.000	9000.000	9000.000	294.149	311.369	6.59299
1.6	839.146	280.307	84.885	2.243	26.735	4.245	9000.000	9000.000	9000.000	9000.000	294.667	311.786	6.53039
1.7	829.179	280.990	64.916	2.264	27.319	4.479	9000.000	9000.000	9000.000	9000.000	296.413	309.624	5.02992
1.8	819.269	281.831	42.093	2.291	27.984	4.713	9000.000	9000.000	9000.000	9000.000	298.326	307.109	3.33337
1.9	809.359	282.672	19.270	2.318	28.648	4.947	9000.000	9000.000	9000.000	9000.000	300.240	304.594	1.63682
2.0	799.652	282.908	8.527	2.333	29.185	5.162	9000.000	9000.000	9000.000	9000.000	301.522	303.763	0.82575
2.1	790.111	282.650	7.668	2.339	29.618	5.360	9000.000	9000.000	9000.000	9000.000	302.289	304.309	0.73918
2.2	780.569	282.392	6.808	2.345	30.050	5.558	9000.000	9000.000	9000.000	9000.000	303.056	304.855	0.65260
