STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20070727
Launch Time (UTC)                : 23:32
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1007.527	294.080	86.828	1.937	19.241	0.640	9000.000	9000.000	9000.000	9000.000	293.456	328.168	13.98837
0.2	996.012	292.767	86.492	1.991	20.013	0.838	9000.000	9000.000	9000.000	9000.000	293.107	325.441	12.98964
0.3	984.497	291.454	86.155	2.045	20.785	1.035	9000.000	9000.000	9000.000	9000.000	292.757	322.714	11.99090
0.4	973.103	290.467	85.652	2.061	21.184	1.225	9000.000	9000.000	9000.000	9000.000	292.738	321.030	11.28428
0.5	961.813	289.757	85.006	2.045	21.266	1.407	9000.000	9000.000	9000.000	9000.000	293.000	320.234	10.82650
0.6	950.523	289.047	84.361	2.029	21.348	1.589	9000.000	9000.000	9000.000	9000.000	293.263	319.439	10.36873
0.7	939.383	288.420	83.137	2.008	21.381	1.761	9000.000	9000.000	9000.000	9000.000	293.610	318.735	9.91745
0.8	928.435	287.897	81.176	1.982	21.351	1.922	9000.000	9000.000	9000.000	9000.000	294.064	318.147	9.47446
0.9	917.488	287.374	79.216	1.956	21.321	2.082	9000.000	9000.000	9000.000	9000.000	294.519	317.560	9.03147
1.0	906.668	286.941	76.223	1.926	21.245	2.241	9000.000	9000.000	9000.000	9000.000	295.067	316.926	8.53738
1.1	896.056	286.653	71.547	1.890	21.093	2.397	9000.000	9000.000	9000.000	9000.000	295.768	316.216	7.95991
1.2	885.445	286.365	66.871	1.854	20.941	2.553	9000.000	9000.000	9000.000	9000.000	296.469	315.507	7.38244
1.3	874.989	285.922	67.109	1.821	20.813	2.740	9000.000	9000.000	9000.000	9000.000	297.014	315.825	7.26595
1.4	864.638	285.375	70.625	1.790	20.700	2.948	9000.000	9000.000	9000.000	9000.000	297.455	316.828	7.45678
1.5	854.299	284.839	73.573	1.763	20.641	3.155	9000.000	9000.000	9000.000	9000.000	297.907	317.704	7.59490
1.6	844.265	284.573	62.907	1.843	21.862	3.350	9000.000	9000.000	9000.000	9000.000	298.645	315.551	6.46781
1.7	834.232	284.306	52.240	1.923	23.082	3.546	9000.000	9000.000	9000.000	9000.000	299.382	313.397	5.34073
1.8	824.211	284.023	42.475	1.996	24.215	3.741	9000.000	9000.000	9000.000	9000.000	300.103	311.442	4.29598
1.9	814.478	283.340	54.344	1.895	23.239	3.940	9000.000	9000.000	9000.000	9000.000	300.409	314.266	5.22721
2.0	804.745	282.658	66.214	1.794	22.263	4.140	9000.000	9000.000	9000.000	9000.000	300.715	317.090	6.15845
2.1	795.012	281.975	78.083	1.693	21.287	4.339	9000.000	9000.000	9000.000	9000.000	301.021	319.913	7.08968
2.2	785.508	281.657	70.493	1.766	22.535	4.551	9000.000	9000.000	9000.000	9000.000	301.722	318.708	6.36225
