STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20050919
Launch Time (UTC)                : 23:55
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1011.589	290.139	67.577	2.711	26.810	0.890	9000.000	9000.000	9000.000	9000.000	289.190	309.933	8.36925
0.2	999.802	288.352	70.670	2.752	27.546	1.177	9000.000	9000.000	9000.000	9000.000	288.371	307.956	7.87595
0.3	988.015	286.565	73.763	2.794	28.283	1.463	9000.000	9000.000	9000.000	9000.000	287.552	305.979	7.38265
0.4	976.358	285.331	76.538	2.816	28.848	1.731	9000.000	9000.000	9000.000	9000.000	287.289	305.141	7.12572
0.5	964.787	284.465	79.103	2.825	29.298	1.988	9000.000	9000.000	9000.000	9000.000	287.396	305.061	7.02636
0.6	953.217	283.600	81.667	2.835	29.749	2.244	9000.000	9000.000	9000.000	9000.000	287.503	304.982	6.92699
0.7	941.816	282.809	82.514	2.840	30.160	2.511	9000.000	9000.000	9000.000	9000.000	287.686	304.713	6.72434
0.8	930.600	282.100	81.500	2.840	30.528	2.789	9000.000	9000.000	9000.000	9000.000	287.950	304.237	6.40978
0.9	919.384	281.391	80.486	2.840	30.896	3.066	9000.000	9000.000	9000.000	9000.000	288.215	303.761	6.09523
1.0	908.323	280.641	81.364	2.830	31.156	3.334	9000.000	9000.000	9000.000	9000.000	288.440	303.570	5.90927
1.1	897.405	279.854	83.987	2.810	31.318	3.592	9000.000	9000.000	9000.000	9000.000	288.629	303.641	5.84201
1.2	886.487	279.067	86.610	2.790	31.480	3.850	9000.000	9000.000	9000.000	9000.000	288.818	303.712	5.77475
1.3	875.731	278.444	88.791	2.769	31.620	4.134	9000.000	9000.000	9000.000	9000.000	289.177	304.035	5.73895
1.4	865.159	278.007	90.475	2.745	31.735	4.447	9000.000	9000.000	9000.000	9000.000	289.730	304.642	5.73864
1.5	854.586	277.569	92.158	2.722	31.851	4.761	9000.000	9000.000	9000.000	9000.000	290.283	305.248	5.73832
1.6	844.190	277.507	84.066	2.806	33.279	5.075	9000.000	9000.000	9000.000	9000.000	291.236	304.910	5.22760
1.7	833.971	277.820	66.197	2.997	36.020	5.390	9000.000	9000.000	9000.000	9000.000	292.589	303.628	4.20646
1.8	823.751	278.134	48.329	3.188	38.760	5.705	9000.000	9000.000	9000.000	9000.000	293.942	302.345	3.18532
1.9	813.650	278.239	35.597	3.330	40.937	6.020	9000.000	9000.000	9000.000	9000.000	295.079	301.574	2.44431
2.0	803.813	277.882	34.299	3.363	41.858	6.336	9000.000	9000.000	9000.000	9000.000	295.733	301.941	2.32683
2.1	793.975	277.525	33.000	3.395	42.780	6.651	9000.000	9000.000	9000.000	9000.000	296.387	302.308	2.20935
2.2	784.215	277.135	32.000	3.405	43.423	6.968	9000.000	9000.000	9000.000	9000.000	297.007	302.683	2.10794
