STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 91.0
Launch Date (YYYYMMDD)           : 20100813
Launch Time (UTC)                : 23:44
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1011.415	289.665	53.231	3.377	33.387	0.154	9000.000	9000.000	9000.000	9000.000	288.730	304.570	6.38914
0.2	999.556	288.333	55.634	3.300	33.015	0.464	9000.000	9000.000	9000.000	9000.000	288.370	303.765	6.18817
0.3	987.864	287.429	59.949	3.300	33.405	0.765	9000.000	9000.000	9000.000	9000.000	288.431	304.297	6.35505
0.4	976.131	286.404	62.231	3.238	33.176	1.072	9000.000	9000.000	9000.000	9000.000	288.382	304.001	6.23367
0.5	964.654	285.477	66.243	3.200	33.173	1.365	9000.000	9000.000	9000.000	9000.000	288.418	304.285	6.31010
0.6	953.171	284.573	68.000	3.200	33.572	1.666	9000.000	9000.000	9000.000	9000.000	288.487	304.052	6.16754
0.7	941.787	283.640	70.000	3.200	33.978	1.980	9000.000	9000.000	9000.000	9000.000	288.527	303.802	6.03097
0.8	930.514	282.664	71.930	3.200	34.390	2.297	9000.000	9000.000	9000.000	9000.000	288.522	303.437	5.86707
0.9	919.407	281.630	73.800	3.200	34.805	2.604	9000.000	9000.000	9000.000	9000.000	288.452	302.931	5.67533
1.0	908.407	280.857	72.000	3.100	34.126	2.894	9000.000	9000.000	9000.000	9000.000	288.648	302.249	5.31133
1.1	897.300	279.950	75.500	3.100	34.548	3.197	9000.000	9000.000	9000.000	9000.000	288.726	302.332	5.29340
1.2	886.450	279.162	79.250	3.100	34.971	3.473	9000.000	9000.000	9000.000	9000.000	288.913	302.645	5.32290
1.3	875.702	278.452	80.325	3.100	35.400	3.785	9000.000	9000.000	9000.000	9000.000	289.182	302.635	5.19574
1.4	865.098	277.683	81.000	3.033	35.054	4.095	9000.000	9000.000	9000.000	9000.000	289.385	302.440	5.02296
1.5	854.540	277.090	81.867	3.013	35.262	4.370	9000.000	9000.000	9000.000	9000.000	289.779	302.635	4.92782
1.6	844.083	276.194	87.780	3.000	35.542	4.674	9000.000	9000.000	9000.000	9000.000	289.856	302.995	5.01760
1.7	833.677	275.241	91.617	3.000	35.985	4.975	9000.000	9000.000	9000.000	9000.000	289.879	302.896	4.95215
1.8	823.416	274.682	90.318	3.000	36.434	5.261	9000.000	9000.000	9000.000	9000.000	290.312	302.839	4.74732
1.9	813.300	274.485	70.375	3.000	36.887	5.542	9000.000	9000.000	9000.000	9000.000	291.128	300.889	3.68177
2.0	803.200	275.050	50.000	3.100	38.596	5.840	9000.000	9000.000	9000.000	9000.000	292.767	300.145	2.76751
2.1	793.370	276.224	6.652	3.235	40.775	6.175	9000.000	9000.000	9000.000	9000.000	295.050	296.179	0.40519
2.2	783.623	276.389	3.773	3.361	42.897	6.498	9000.000	9000.000	9000.000	9000.000	296.267	296.951	0.23579
