STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20041008
Launch Time (UTC)                : 23:41
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1013.656	293.764	62.233	2.292	22.627	0.734	9000.000	9000.000	9000.000	9000.000	292.633	316.877	9.78837
0.2	1002.002	292.223	60.729	2.375	23.724	1.047	9000.000	9000.000	9000.000	9000.000	292.060	313.887	8.78526
0.3	990.348	290.681	59.226	2.458	24.820	1.360	9000.000	9000.000	9000.000	9000.000	291.486	310.898	7.78215
0.4	978.907	289.865	58.269	2.516	25.728	1.623	9000.000	9000.000	9000.000	9000.000	291.642	310.019	7.34295
0.5	967.503	289.178	57.410	2.571	26.602	1.879	9000.000	9000.000	9000.000	9000.000	291.927	309.514	7.00327
0.6	956.099	288.490	56.550	2.625	27.476	2.134	9000.000	9000.000	9000.000	9000.000	292.212	309.008	6.66359
0.7	944.823	287.724	56.714	2.666	28.225	2.395	9000.000	9000.000	9000.000	9000.000	292.418	308.640	6.41132
0.8	933.775	286.817	58.697	2.683	28.753	2.668	9000.000	9000.000	9000.000	9000.000	292.483	308.515	6.31445
0.9	922.726	285.911	60.680	2.700	29.280	2.941	9000.000	9000.000	9000.000	9000.000	292.548	308.391	6.21759
1.0	911.678	285.004	62.663	2.717	29.807	3.214	9000.000	9000.000	9000.000	9000.000	292.613	308.267	6.12072
1.1	900.926	284.077	65.428	2.711	30.100	3.453	9000.000	9000.000	9000.000	9000.000	292.657	308.211	6.06013
1.2	890.235	283.147	68.354	2.701	30.345	3.686	9000.000	9000.000	9000.000	9000.000	292.697	308.170	6.00697
1.3	879.543	282.216	71.279	2.690	30.591	3.920	9000.000	9000.000	9000.000	9000.000	292.736	308.129	5.95381
1.4	868.876	281.306	74.099	2.676	30.803	4.156	9000.000	9000.000	9000.000	9000.000	292.798	308.106	5.89923
1.5	858.536	280.683	75.516	2.625	30.573	4.439	9000.000	9000.000	9000.000	9000.000	293.161	308.332	5.82582
1.6	848.196	280.060	76.932	2.574	30.344	4.723	9000.000	9000.000	9000.000	9000.000	293.524	308.559	5.75240
1.7	837.856	279.437	78.348	2.523	30.114	5.006	9000.000	9000.000	9000.000	9000.000	293.887	308.785	5.67899
1.8	827.762	279.935	67.462	2.648	32.059	5.316	9000.000	9000.000	9000.000	9000.000	295.442	308.177	4.84209
1.9	817.875	281.388	46.094	2.921	35.856	5.648	9000.000	9000.000	9000.000	9000.000	298.012	306.857	3.35482
2.0	807.989	282.841	24.726	3.195	39.653	5.980	9000.000	9000.000	9000.000	9000.000	300.583	305.537	1.86754
2.1	798.118	284.236	3.992	3.458	43.328	6.312	9000.000	9000.000	9000.000	9000.000	303.093	304.270	0.42384
2.2	788.717	283.773	3.719	3.395	43.041	6.625	9000.000	9000.000	9000.000	9000.000	303.638	304.728	0.38889
