STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20070720
Launch Time (UTC)                : 23:37
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1013.419	292.636	69.952	1.943	19.195	0.597	9000.000	9000.000	9000.000	9000.000	291.530	316.868	10.22965
0.2	1001.692	291.431	65.936	2.068	20.671	0.853	9000.000	9000.000	9000.000	9000.000	291.295	313.793	9.05413
0.3	989.971	290.234	62.012	2.189	22.116	1.108	9000.000	9000.000	9000.000	9000.000	291.069	310.773	7.89735
0.4	978.538	289.424	62.636	2.158	22.054	1.309	9000.000	9000.000	9000.000	9000.000	291.228	310.401	7.65912
0.5	967.105	288.614	63.259	2.127	21.992	1.509	9000.000	9000.000	9000.000	9000.000	291.388	310.029	7.42089
0.6	955.672	287.804	63.882	2.096	21.931	1.710	9000.000	9000.000	9000.000	9000.000	291.548	309.657	7.18266
0.7	944.532	287.096	65.205	2.071	21.923	1.919	9000.000	9000.000	9000.000	9000.000	291.811	309.704	7.07199
0.8	933.461	286.411	66.693	2.047	21.928	2.131	9000.000	9000.000	9000.000	9000.000	292.098	309.850	6.99124
0.9	922.389	285.726	68.182	2.023	21.933	2.343	9000.000	9000.000	9000.000	9000.000	292.386	309.995	6.91049
1.0	911.464	285.074	69.720	2.009	22.043	2.544	9000.000	9000.000	9000.000	9000.000	292.710	310.212	6.84362
1.1	900.717	284.461	71.320	2.006	22.282	2.730	9000.000	9000.000	9000.000	9000.000	293.079	310.515	6.79370
1.2	889.971	283.847	72.920	2.003	22.521	2.917	9000.000	9000.000	9000.000	9000.000	293.448	310.818	6.74379
1.3	879.224	283.234	74.520	2.001	22.759	3.104	9000.000	9000.000	9000.000	9000.000	293.817	311.121	6.69388
1.4	868.756	282.765	72.151	2.057	23.706	3.311	9000.000	9000.000	9000.000	9000.000	294.339	310.851	6.36664
1.5	858.407	282.358	68.081	2.138	24.956	3.528	9000.000	9000.000	9000.000	9000.000	294.927	310.336	5.92054
1.6	848.058	281.951	64.012	2.220	26.205	3.744	9000.000	9000.000	9000.000	9000.000	295.515	309.820	5.47445
1.7	837.800	281.506	60.164	2.278	27.199	3.959	9000.000	9000.000	9000.000	9000.000	296.065	309.306	5.04614
1.8	827.800	280.950	56.947	2.273	27.463	4.170	9000.000	9000.000	9000.000	9000.000	296.504	308.796	4.66842
1.9	817.800	280.394	53.731	2.267	27.727	4.381	9000.000	9000.000	9000.000	9000.000	296.944	308.286	4.29071
2.0	807.800	279.839	50.515	2.261	27.991	4.593	9000.000	9000.000	9000.000	9000.000	297.383	307.776	3.91299
2.1	798.084	279.233	43.538	2.283	28.627	4.820	9000.000	9000.000	9000.000	9000.000	297.772	306.586	3.30688
2.2	788.423	278.618	35.846	2.311	29.334	5.050	9000.000	9000.000	9000.000	9000.000	298.152	305.266	2.65726
